Episode,Episode-Reward,Total-Reward,ActionAVG,Q-Value,LinesCleared
223,49.35,4741.3,3.1,17.05741,0

224,39.85,4781.15,2.71,17.10236,0

225,38.85,4820.0,2.0,17.11468,0

226,39.8,4859.8,2.2,17.14561,0

227,16.5,4876.3,1.78,16.64533,0

228,22.85,4899.15,2.77,16.40049,0

229,27.75,4926.9,2.69,16.32099,0

230,63.55,4990.45,2.57,17.06488,0

231,7.7,4998.15,1.77,16.38476,0

232,27.7,5025.85,2.02,16.30767,0

233,40.9,5066.75,1.5,16.54493,0

234,18.45,5085.2,2.24,16.22368,0

235,21.15,5106.35,1.76,16.03546,0

236,56.7,5163.05,2.2,16.68947,0

237,15.15,5178.2,1.54,16.26144,0

238,17.55,5195.75,1.98,15.98373,0

239,37.6,5233.35,1.36,16.21962,0

240,36.75,5270.1,1.11,16.38332,0

241,31.45,5301.55,2.47,16.39093,0

242,34.95,5336.5,1.69,16.47558,0

243,29.8,5366.3,1.52,16.42531,0

244,57.5,5423.8,2.04,17.0096,1

245,50.95,5474.75,2.51,17.31505,0

246,21.95,5496.7,1.77,16.89927,0

247,21.6,5518.3,2.05,16.56917,0

248,44.0,5562.3,1.8,18.04174,0

249,26.3,5588.6,2.53,18.78474,0

250,25.2,5613.8,1.83,19.33581,0

251,28.75,5642.55,1.52,19.84277,0

252,38.4,5680.95,1.42,20.45279,0

253,21.65,5702.6,2.28,20.54867,0

254,32.75,5735.35,2.79,20.87274,0

255,28.5,5763.85,2.34,21.02826,0

256,74.3,5838.15,2.95,22.17929,0

257,45.35,5883.5,1.97,22.41996,0

258,46.0,5929.5,1.94,22.62111,0

259,22.95,5952.45,1.91,22.25838,0

260,39.8,5992.25,3.72,22.35638,0

261,52.6,6044.85,2.11,22.72033,0

262,55.9,6100.75,1.8,23.07665,0

263,35.9,6136.65,2.14,22.90279,0

264,46.15,6182.8,2.66,22.99868,0

265,30.6,6213.4,2.43,22.72311,0

266,30.55,6243.95,1.8,22.50843,0

267,40.4,6284.35,2.84,22.56367,0

268,56.7,6341.05,1.98,22.97323,0

269,27.65,6368.7,3.1,22.63702,0

270,48.65,6417.35,1.88,22.84896,0

271,42.3,6459.65,1.53,22.87033,0

272,41.95,6501.6,2.4,22.87902,0

273,21.0,6522.6,2.77,22.41438,0

274,48.4,6571.0,2.28,22.67078,0

275,33.55,6604.55,3.13,22.53537,0

276,22.0,6626.55,2.64,22.17055,0

277,30.1,6656.65,2.09,22.07007,0

278,24.3,6680.95,1.77,21.86169,0

279,58.3,6739.25,2.63,22.4652,0

280,40.65,6779.9,1.51,22.53579,0

281,26.45,6806.35,2.15,22.271,0

282,46.6,6852.95,1.69,22.51917,0

283,45.3,6898.25,1.94,22.68224,0

284,47.25,6945.5,2.15,22.8525,0

285,55.85,7001.35,2.6,23.32457,0

286,45.15,7046.5,2.21,23.44967,0

287,38.0,7084.5,2.11,23.38575,0

288,43.4,7127.9,1.52,23.45771,0

289,39.25,7167.15,1.44,23.42011,0

290,44.25,7211.4,1.67,23.50346,0

291,41.0,7252.4,1.53,23.49494,0

292,27.55,7279.95,3.2,23.18571,0

293,30.05,7310.0,2.35,23.0023,0

294,15.25,7325.25,2.17,22.52717,0

295,42.7,7367.95,1.73,22.77656,0

296,32.75,7400.7,1.94,22.74596,0

297,41.7,7442.4,1.04,22.92363,0

298,73.35,7515.75,2.68,23.77344,0

299,66.9,7582.65,2.54,24.28692,0

300,33.1,7615.75,2.63,23.92437,0

301,41.9,7657.65,3.13,23.84139,0

302,42.5,7700.15,3.41,23.79058,0

303,25.9,7726.05,1.76,23.37771,0

304,27.15,7753.2,2.27,23.08585,0

305,36.65,7789.85,2.53,23.07342,0

306,53.0,7842.85,2.12,23.43165,0

307,44.7,7887.55,2.11,23.52254,0

308,36.9,7924.45,2.49,23.41747,0

309,34.45,7958.9,2.37,23.28092,0

310,35.65,7994.55,3.2,23.20209,0

311,48.5,8043.05,1.39,23.43013,0

312,35.7,8078.75,1.77,23.31885,0

313,42.15,8120.9,3.08,23.37774,0

314,34.9,8155.8,2.72,23.26025,0

315,26.0,8181.8,1.44,22.96895,0

316,21.25,8203.05,1.78,22.63632,0

317,44.55,8247.6,2.82,22.90278,0

318,43.25,8290.85,1.59,23.08003,0

319,37.35,8328.2,1.9,23.08465,0

